,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/cm_100_25/jsons/cm_100_25_3.json,0.9662593646536404,0.8936778674292718,0.898696360673547,0.8929586236425208,3309,2750,373,22941
0,../result/cm_100_25/jsons/cm_100_25_0.json,0.9473508548994977,0.8669225481209899,0.8847684001136686,0.862416588935926,6227,3835,811,24039
0,../result/cm_100_25/jsons/cm_100_25_4.json,0.96712679628363,0.866776759234295,0.9395524556814879,0.8572299950440319,3233,3745,208,22486
0,../result/cm_100_25/jsons/cm_100_25_1.json,0.959184829208064,0.8591934612266955,0.9105195638229634,0.8531521328803322,2839,3890,279,22600
0,../result/cm_100_25/jsons/cm_100_25_2.json,0.9671257833263549,0.8830171779533604,0.9102602452886629,0.8797549967762733,3043,3357,300,24561
