,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/cm_100_25/jsons/cm_100_25_3.json,0.7881364482729658,0.743960915588528,0.6891006551518761,0.7537870706208663,1157,2308,522,7066
0,../result/cm_100_25/jsons/cm_100_25_0.json,0.7942368572131551,0.7239618532702561,0.7139598540145985,0.7259325842696629,1565,3049,627,8076
0,../result/cm_100_25/jsons/cm_100_25_4.json,0.7790333166392971,0.6758890251379521,0.7575757575757576,0.6604066004193636,1575,3725,504,7244
0,../result/cm_100_25/jsons/cm_100_25_1.json,0.7789067030012424,0.7007197988032261,0.7119411431805319,0.6986890618598934,1258,2942,509,6822
0,../result/cm_100_25/jsons/cm_100_25_2.json,0.8116318098673523,0.6889653516844042,0.7773913043478261,0.6690203000882613,1788,3375,512,6822
