,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/cm_0_50/jsons/cm_0_50_4.json,0.8045227759878364,0.7670531140469129,0.6771287416448707,0.7788494529373642,2330,5801,1111,20430
0,../result/cm_0_50/jsons/cm_0_50_2.json,0.8279409977559812,0.7989187805892326,0.6772360155548908,0.8134895049788666,2264,5207,1079,22711
0,../result/cm_0_50/jsons/cm_0_50_1.json,0.7618405083937662,0.7401715752499325,0.6228351507376524,0.7539826349565873,1942,6517,1176,19973
0,../result/cm_0_50/jsons/cm_0_50_0.json,0.81474418904475,0.7761228230980751,0.6874111963626031,0.7985219200688813,4838,5616,2200,22258
0,../result/cm_0_50/jsons/cm_0_50_3.json,0.8625308689442495,0.8364484390426582,0.7129277566539924,0.8541512591958274,2625,3747,1057,21944
