,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/cm_100_100/jsons/cm_100_100_2.json,0.8447278398164847,0.7140113627270545,0.7969565217391305,0.6953025399627342,1833,3107,467,7090
0,../result/cm_100_100/jsons/cm_100_100_0.json,0.8244996104322152,0.7051137643613427,0.7864963503649635,0.6890786516853933,1724,3459,468,7666
0,../result/cm_100_100/jsons/cm_100_100_3.json,0.7855372589752834,0.7220664073102325,0.696247766527695,0.7266908470236825,1169,2562,510,6812
0,../result/cm_100_100/jsons/cm_100_100_4.json,0.8056799057346054,0.700337216431637,0.7633477633477633,0.6883945665056067,1587,3418,492,7551
0,../result/cm_100_100/jsons/cm_100_100_1.json,0.8070847785902362,0.7255225045529442,0.7113752122241087,0.7280827529700942,1257,2655,510,7109
