,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/cm_100_100/jsons/cm_100_100_2.json,0.9661183138423609,0.8924218675026391,0.9012862698175291,0.8913604126370084,3013,3033,330,24885
0,../result/cm_100_100/jsons/cm_100_100_0.json,0.9460276584010177,0.8692140238313474,0.8712702472293266,0.8686948410705316,6132,3660,906,24214
0,../result/cm_100_100/jsons/cm_100_100_3.json,0.9630988928271358,0.8798896946175059,0.9073872895165671,0.8759487758358958,3341,3187,341,22504
0,../result/cm_100_100/jsons/cm_100_100_4.json,0.9688593853697689,0.8763143704502562,0.932287125835513,0.8689718272273265,3208,3437,233,22794
0,../result/cm_100_100/jsons/cm_100_100_1.json,0.957931569660547,0.8704404215077006,0.8932007697241822,0.8677614194035486,2785,3503,333,22987
