,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/ct_3_50/jsons/ct_3_50_3.json,0.7479822981793064,0.714376187460418,0.6527695056581299,0.7254107104757841,1096,2574,583,6800
0,../result/ct_3_50/jsons/ct_3_50_4.json,0.7277334247887626,0.6849325567136726,0.6618566618566618,0.6893062266387091,1376,3408,703,7561
0,../result/ct_3_50/jsons/ct_3_50_2.json,0.8111373762956708,0.7041690005601344,0.758695652173913,0.6918701578895754,1745,3142,555,7055
0,../result/ct_3_50/jsons/ct_3_50_0.json,0.7506185926351184,0.6756777051888564,0.6893248175182481,0.6729887640449438,1511,3638,681,7487
0,../result/ct_3_50/jsons/ct_3_50_1.json,0.7421777607449793,0.6935218107709652,0.6644029428409735,0.6987914789020893,1174,2941,593,6823
