,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/ct_3_50/jsons/ct_3_50_3.json,0.7693373812960537,0.5985705238396816,0.8106015485407981,0.5605931299338596,1361,4119,318,5255
0,../result/ct_3_50/jsons/ct_3_50_4.json,0.8060083050966449,0.644543225015328,0.7941317941317941,0.6161910839638982,1651,4210,428,6759
0,../result/ct_3_50/jsons/ct_3_50_2.json,0.8212783171521034,0.6252700648155557,0.8556521739130435,0.5733058742767481,1968,4351,332,5846
0,../result/ct_3_50/jsons/ct_3_50_0.json,0.8031585130812761,0.7554253961102351,0.6934306569343066,0.7676404494382022,1520,2585,672,8540
0,../result/ct_3_50/jsons/ct_3_50_1.json,0.8127958762853136,0.7126008151938253,0.7577815506508206,0.7044244162228595,1339,2886,428,6878
