,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/ct_0_75/jsons/ct_0_75_0.json,0.7626949889280734,0.6724487497184051,0.7062043795620438,0.6657977528089888,1548,3718,644,7407
0,../result/ct_0_75/jsons/ct_0_75_3.json,0.7771206216731412,0.6857866642540487,0.7474687313877308,0.6747386387881374,1255,3049,424,6325
0,../result/ct_0_75/jsons/ct_0_75_1.json,0.7436413622962005,0.7207527534472292,0.6270514997170346,0.7377099549365015,1108,2561,659,7203
0,../result/ct_0_75/jsons/ct_0_75_4.json,0.7296357643700154,0.7330625383200491,0.6055796055796056,0.7572249065548363,1259,2663,820,8306
0,../result/ct_0_75/jsons/ct_0_75_2.json,0.7998011989886199,0.6866447947507401,0.7582608695652174,0.6704913209767579,1744,3360,556,6837
