,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/ct_0_75/jsons/ct_0_75_0.json,0.9476261264228794,0.8506530705774519,0.9038078999715828,0.8372318289445361,6361,4537,677,23337
0,../result/ct_0_75/jsons/ct_0_75_3.json,0.967593684487966,0.8618459129132197,0.9432373709940249,0.8501809972363863,3473,3849,209,21842
0,../result/ct_0_75/jsons/ct_0_75_1.json,0.9554984017351,0.8587206160497163,0.8896728672225785,0.8550773876934692,2774,3839,344,22651
0,../result/ct_0_75/jsons/ct_0_75_4.json,0.9645560311510843,0.8745955783229981,0.91572217378669,0.8692005642179101,3151,3431,290,22800
0,../result/ct_0_75/jsons/ct_0_75_2.json,0.9672571239086855,0.881673650874892,0.9141489679928209,0.8777849416147289,3056,3412,287,24506
