,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/ct_0_100/jsons/ct_0_100_4.json,0.9669312021152554,0.8655971960097061,0.932868352223191,0.8567725210628645,3210,3757,231,22474
0,../result/ct_0_100/jsons/ct_0_100_1.json,0.9581102530370182,0.8467643880032424,0.9204618345093009,0.838089845224613,2870,4289,248,22201
0,../result/ct_0_100/jsons/ct_0_100_3.json,0.9674736772088777,0.887447656010622,0.9155350353068984,0.8834222101124908,3371,2995,311,22696
0,../result/ct_0_100/jsons/ct_0_100_0.json,0.947263798406922,0.8740261228230981,0.8638817845978971,0.8765875008968932,6080,3440,958,24434
0,../result/ct_0_100/jsons/ct_0_100_2.json,0.9663989742448382,0.8786667093183199,0.9147472330242298,0.8743462998782148,3058,3508,285,24410
