,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/ct_0_100/jsons/ct_0_100_4.json,0.8169067656714663,0.6716738197424893,0.7999037999037999,0.6473698605159997,1663,3868,416,7101
0,../result/ct_0_100/jsons/ct_0_100_1.json,0.8142791555874263,0.7844072500216807,0.6745897000565931,0.8042810323637853,1192,1911,575,7853
0,../result/ct_0_100/jsons/ct_0_100_3.json,0.800798827316645,0.7610603456075273,0.672424061941632,0.7769362065286964,1129,2091,550,7283
0,../result/ct_0_100/jsons/ct_0_100_0.json,0.8179777536291314,0.7317714199894871,0.7349452554744526,0.7311460674157303,1611,2991,581,8134
0,../result/ct_0_100/jsons/ct_0_100_2.json,0.8437564330514943,0.690325678162759,0.8308695652173913,0.6586250858095518,1911,3481,389,6716
