,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/ct_0_100/jsons/ct_0_100_4.json,0.9298669464423849,0.8436236182259369,0.8442313281022958,0.8435438984407762,2905,4104,536,22127
0,../result/ct_0_100/jsons/ct_0_100_1.json,0.9166715882232297,0.8747973520670089,0.776459268762027,0.8863722159305398,2421,3010,697,23480
0,../result/ct_0_100/jsons/ct_0_100_3.json,0.9005852754578285,0.8298777789126068,0.7984790874524715,0.8343777976723367,2940,4255,742,21436
0,../result/ct_0_100/jsons/ct_0_100_0.json,0.9141624308535896,0.8431484876260311,0.8204035237283319,0.8488914400516611,5774,4212,1264,23662
0,../result/ct_0_100/jsons/ct_0_100_2.json,0.9308877134024632,0.8623524519369182,0.8133413102004188,0.868221219285049,2719,3679,624,24239
