,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/ct_3_75/jsons/ct_3_75_1.json,0.9564279826751523,0.8635841664415023,0.8925593329057088,0.8601736504341261,2783,3704,335,22786
0,../result/ct_3_75/jsons/ct_3_75_2.json,0.9673902806297585,0.8799462589168613,0.9201316183069099,0.8751343219428326,3076,3486,267,24432
0,../result/ct_3_75/jsons/ct_3_75_3.json,0.9656299924407677,0.8777108228645355,0.9166214014122759,0.8721342104238838,3375,3285,307,22406
0,../result/ct_3_75/jsons/ct_3_75_0.json,0.9471714100004642,0.8500229147571036,0.9048025007104291,0.8361914328765158,6368,4566,670,23308
0,../result/ct_3_75/jsons/ct_3_75_4.json,0.9665253728827854,0.8811000269614452,0.9165940133682069,0.8764439022530593,3154,3241,287,22990
