,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/ct_3_75/jsons/ct_3_75_1.json,0.73245773427768,0.7222270401526321,0.619128466327108,0.7408848832445719,1094,2530,673,7234
0,../result/ct_3_75/jsons/ct_3_75_2.json,0.7980727494446362,0.6966471953268785,0.7308695652173913,0.6889281161125821,1681,3172,619,7025
0,../result/ct_3_75/jsons/ct_3_75_3.json,0.7544273612731119,0.7312041979553062,0.6354973198332341,0.7483464902922978,1067,2359,612,7015
0,../result/ct_3_75/jsons/ct_3_75_0.json,0.7542657672435003,0.6656153788390778,0.7039233576642335,0.6580674157303371,1543,3804,649,7321
0,../result/ct_3_75/jsons/ct_3_75_4.json,0.7160246215766318,0.7277743715511956,0.5772005772005772,0.756313246421734,1200,2673,879,8296
