,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/ct_3_75/jsons/ct_3_75_1.json,0.9209017841338702,0.8743245068900297,0.7623476587556126,0.8875047187617969,2377,2980,741,23510
0,../result/ct_3_75/jsons/ct_3_75_2.json,0.9192897174595993,0.8534915709670197,0.7930002991325157,0.8607350096711799,2651,3888,692,24030
0,../result/ct_3_75/jsons/ct_3_75_3.json,0.9272228636870173,0.8058080550165118,0.8739815317762086,0.7960375228679304,3218,5240,464,20451
0,../result/ct_3_75/jsons/ct_3_75_0.json,0.9024461796306901,0.811583409715857,0.8205456095481671,0.8093205137404033,5775,5315,1263,22559
0,../result/ct_3_75/jsons/ct_3_75_4.json,0.9223321809070509,0.865057967107037,0.8047079337401918,0.8729747245625405,2769,3332,672,22899
