,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/cm_0_100_t/jsons/cm_0_100_t_2.json,0.8474788576270872,0.8111384792553021,0.7185163027221059,0.8222293860591733,2402,4963,941,22955
0,../result/cm_0_100_t/jsons/cm_0_100_t_0.json,0.8613566416674329,0.839711274060495,0.7030406365444729,0.8742197029489848,4948,3506,2090,24368
0,../result/cm_0_100_t/jsons/cm_0_100_t_3.json,0.8726104655269683,0.8349164198413509,0.7343834872351983,0.8493246662255265,2704,3871,978,21820
0,../result/cm_0_100_t/jsons/cm_0_100_t_4.json,0.8815172080491003,0.8335467781073066,0.7529787852368498,0.8441157409172353,2591,4089,850,22142
0,../result/cm_0_100_t/jsons/cm_0_100_t_1.json,0.8622342571331091,0.8638205890299919,0.6796023091725465,0.8855039637599094,2119,3033,999,23457
