,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/cm_0_100_t/jsons/cm_0_100_t_2.json,0.8357378555500126,0.7554613107145715,0.7352173913043478,0.7600274590565853,1691,2447,609,7750
0,../result/cm_0_100_t/jsons/cm_0_100_t_0.json,0.8143192815549907,0.7994293008935947,0.6309306569343066,0.8326292134831461,1383,1862,809,9263
0,../result/cm_0_100_t/jsons/cm_0_100_t_3.json,0.7881746655716336,0.7819596489640821,0.5812983918999405,0.8179005760614465,976,1707,703,7667
0,../result/cm_0_100_t/jsons/cm_0_100_t_4.json,0.8058520205023989,0.7864806866952789,0.6166426166426167,0.8186707995259367,1282,1989,797,8980
0,../result/cm_0_100_t/jsons/cm_0_100_t_1.json,0.801859596726086,0.8288092966785188,0.5800792303338993,0.8738222040147481,1025,1232,742,8532
