,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/ct_3_100/jsons/ct_3_100_2.json,0.9248412410799998,0.8755957902818208,0.7810349985043374,0.8869188337273444,2611,3157,732,24761
0,../result/ct_3_100/jsons/ct_3_100_0.json,0.9124580815227408,0.7886972960586618,0.8785166240409207,0.7660185118748655,6183,6522,855,21352
0,../result/ct_3_100/jsons/ct_3_100_3.json,0.9454147705069046,0.861096925748136,0.8720803910917979,0.85952279008213,3211,3609,471,22082
0,../result/ct_3_100/jsons/ct_3_100_4.json,0.937966314329052,0.8624629280129414,0.8509154315605929,0.8639777362662499,2928,3568,513,22663
0,../result/ct_3_100/jsons/ct_3_100_1.json,0.9239677262118108,0.8640570116184815,0.8011545862732521,0.8714609286523216,2498,3405,620,23085
