,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/ct_3_100/jsons/ct_3_100_2.json,0.7985055493730041,0.7124109786348723,0.7234782608695652,0.7099146807884672,1664,2958,636,7239
0,../result/ct_3_100/jsons/ct_3_100_0.json,0.7610591322890182,0.7201321618983254,0.656478102189781,0.7326741573033708,1439,2974,753,8151
0,../result/ct_3_100/jsons/ct_3_100_3.json,0.7468573499140286,0.7219759341355289,0.6366885050625373,0.7372519735438446,1069,2463,610,6911
0,../result/ct_3_100/jsons/ct_3_100_4.json,0.7185242761411965,0.7126762722256285,0.6007696007696007,0.7338864071474155,1249,2919,830,8050
0,../result/ct_3_100/jsons/ct_3_100_1.json,0.7524125676085789,0.7134680426675917,0.6230899830220713,0.7298238426874232,1101,2638,666,7126
