,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/ct_0_75_10/jsons/ct_0_75_10_5.json,0.819847619179098,0.6894093686354379,0.7763819095477387,0.6758241758241759,618,1652,178,3444
0,../result/ct_0_75_10/jsons/ct_0_75_10_2.json,0.7935512859621507,0.7614240170031881,0.65775950668037,0.7830087738069762,640,1014,333,3659
0,../result/ct_0_75_10/jsons/ct_0_75_10_4.json,0.8496237700576024,0.718546555639667,0.8384308510638298,0.6831993726720251,1261,1616,243,3485
0,../result/ct_0_75_10/jsons/ct_0_75_10_3.json,0.8086560122149672,0.7680543755310111,0.6863979848866498,0.7807896287566294,545,1116,249,3975
0,../result/ct_0_75_10/jsons/ct_0_75_10_8.json,0.813089145049916,0.6917593384659253,0.807909604519774,0.6710349462365591,858,1958,204,3994
0,../result/ct_0_75_10/jsons/ct_0_75_10_9.json,0.8279941610520298,0.7059993370898243,0.7748279252704031,0.6920470400637831,788,1545,229,3472
0,../result/ct_0_75_10/jsons/ct_0_75_10_7.json,0.8553677171765999,0.7084035186224967,0.8432304038004751,0.6831815152188403,710,1426,132,3075
0,../result/ct_0_75_10/jsons/ct_0_75_10_6.json,0.7486225393820238,0.6978984238178634,0.6642771804062126,0.7036733018674328,556,1444,281,3429
0,../result/ct_0_75_10/jsons/ct_0_75_10_1.json,0.8401734535727199,0.7627376425855513,0.7601078167115903,0.7632735261808862,846,1293,267,4169
0,../result/ct_0_75_10/jsons/ct_0_75_10_0.json,0.7951303168364243,0.7741026401661228,0.6515291936978684,0.7974571781741127,703,1147,376,4516
