,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/ct_0_75_10/jsons/ct_0_75_10_5.json,0.8954540526908535,0.8449547758034511,0.7516198704103672,0.8575380359612724,1392,1957,460,11780
0,../result/ct_0_75_10/jsons/ct_0_75_10_2.json,0.9284717800496505,0.8694034897876369,0.8104858104858105,0.879043047139372,1685,1537,394,11170
0,../result/ct_0_75_10/jsons/ct_0_75_10_4.json,0.9053470388653052,0.8566870852475753,0.7538564721663313,0.8674987659544461,1124,1879,367,12302
0,../result/ct_0_75_10/jsons/ct_0_75_10_3.json,0.8876071476928554,0.8519767912562407,0.7247353224254091,0.8615685989987666,753,1908,286,11875
0,../result/ct_0_75_10/jsons/ct_0_75_10_8.json,0.916294129618554,0.8329339723109691,0.8322368421052632,0.833030303030303,1518,2204,306,10996
0,../result/ct_0_75_10/jsons/ct_0_75_10_9.json,0.9309795579515039,0.866602949208083,0.821273964131107,0.8722277645614305,1328,1665,289,11366
0,../result/ct_0_75_10/jsons/ct_0_75_10_7.json,0.9281790260014635,0.853807594589027,0.8192844147968465,0.8582158897320737,1351,1831,298,11083
0,../result/ct_0_75_10/jsons/ct_0_75_10_6.json,0.906763167076416,0.8309250506414585,0.8189867191342843,0.8328246067151913,1665,2136,368,10641
0,../result/ct_0_75_10/jsons/ct_0_75_10_1.json,0.9006659044901312,0.8305014749262537,0.8044126416219439,0.8369373345101501,2698,2217,656,11379
0,../result/ct_0_75_10/jsons/ct_0_75_10_0.json,0.9174853335024584,0.846119585792228,0.8108034744842563,0.8552318251856003,2987,2067,697,12211
