,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/cm_0_100/jsons/cm_0_100_1.json,0.8667147441601766,0.866522561469873,0.6978832584990379,0.8863722159305398,2176,3010,942,23480
0,../result/cm_0_100/jsons/cm_0_100_4.json,0.8860036260895376,0.776792936101375,0.8166230746875908,0.771567992070451,2810,5992,631,20239
0,../result/cm_0_100/jsons/cm_0_100_3.json,0.8865208547216109,0.8361420352023967,0.7653449212384573,0.8462885835506597,2818,3949,864,21742
0,../result/cm_0_100/jsons/cm_0_100_0.json,0.8042994718469135,0.6937156278643446,0.7604433077578857,0.6768673315634641,5352,9007,1686,18867
0,../result/cm_0_100/jsons/cm_0_100_2.json,0.8501228663396674,0.8451744985765011,0.6874065210888424,0.8640661938534279,2298,3795,1045,24123
