,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/cm_0_100/jsons/cm_0_100_1.json,0.8089346030959971,0.8241262683201804,0.5913978494623656,0.8662433428922572,1045,1306,722,8458
0,../result/cm_0_100/jsons/cm_0_100_4.json,0.8190175943389545,0.7376609442060086,0.7397787397787398,0.7372595496398943,1538,2882,541,8087
0,../result/cm_0_100/jsons/cm_0_100_3.json,0.8023610666178028,0.7911879127838596,0.6128648004764741,0.8231278002986985,1029,1658,650,7716
0,../result/cm_0_100/jsons/cm_0_100_0.json,0.769264598540146,0.7022602688293159,0.6856751824817519,0.7055280898876405,1503,3276,689,7849
0,../result/cm_0_100/jsons/cm_0_100_2.json,0.825509122461423,0.7877090501720413,0.6652173913043479,0.8153378444640581,1530,1883,770,8314
