,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/ct_0_50/jsons/ct_0_50_1.json,0.7402624403378708,0.6897927326337698,0.6536502546689303,0.6963334698893896,1155,2965,612,6799
0,../result/ct_0_50/jsons/ct_0_50_2.json,0.805472645407217,0.6916059854365048,0.7569565217391304,0.6768657448269099,1741,3295,559,6902
0,../result/ct_0_50/jsons/ct_0_50_3.json,0.7389382681661149,0.7254139147742694,0.6176295413936868,0.7447194367399189,1037,2393,642,6981
0,../result/ct_0_50/jsons/ct_0_50_4.json,0.7305131769531441,0.7060085836909872,0.6354016354016354,0.7193910110310876,1321,3078,758,7891
0,../result/ct_0_50/jsons/ct_0_50_0.json,0.7457300090215698,0.6539010287602313,0.697992700729927,0.6452134831460674,1530,3947,662,7178
