,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/cm_100_75/jsons/cm_100_75_4.json,0.7971041175070713,0.740113427345187,0.6984126984126984,0.7480171392105023,1452,2764,627,8205
0,../result/cm_100_75/jsons/cm_100_75_2.json,0.8407847363461546,0.7320156837641034,0.7765217391304348,0.7219770520741394,1786,2835,514,7362
0,../result/cm_100_75/jsons/cm_100_75_3.json,0.7979211886234314,0.6881389667963449,0.764145324597975,0.674525282696821,1283,3051,396,6323
0,../result/cm_100_75/jsons/cm_100_75_0.json,0.8032004428770607,0.6490200495607119,0.8047445255474452,0.6183370786516854,1764,4246,428,6879
0,../result/cm_100_75/jsons/cm_100_75_1.json,0.7922766479638195,0.7333275518168415,0.6926994906621392,0.7406800491601803,1224,2532,543,7232
