,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/cm_0_75/jsons/cm_0_75_2.json,0.8080818313996869,0.7530607345762983,0.681304347826087,0.7692458566244974,1567,2353,733,7844
0,../result/cm_0_75/jsons/cm_0_75_4.json,0.8089974891415315,0.7452483139178419,0.7205387205387206,0.7499316254900174,1498,2743,581,8226
0,../result/cm_0_75/jsons/cm_0_75_0.json,0.8024103789059296,0.7386047908688143,0.7025547445255474,0.7457078651685394,1540,2829,652,8296
0,../result/cm_0_75/jsons/cm_0_75_3.json,0.7794547995780658,0.7481226816248983,0.6486003573555688,0.7659483678259015,1089,2194,590,7180
0,../result/cm_0_75/jsons/cm_0_75_1.json,0.7567225167026139,0.7775561529789263,0.5200905489530278,0.8241499385497747,919,1717,848,8047
