,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/cm_0_75/jsons/cm_0_75_2.json,0.8400428784464018,0.8198074277854195,0.6805264732276398,0.8364854215918046,2275,4565,1068,23353
0,../result/cm_0_75/jsons/cm_0_75_4.json,0.8693736846390504,0.800148287948234,0.7672188317349607,0.8044679958827342,2640,5129,801,21102
0,../result/cm_0_75/jsons/cm_0_75_0.json,0.83996519687516,0.7784429422548121,0.7284739982949702,0.7910597689603215,5127,5824,1911,22050
0,../result/cm_0_75/jsons/cm_0_75_3.json,0.8607266950293455,0.8052633370782691,0.7523085279739272,0.812852749990269,2770,4808,912,20883
0,../result/cm_0_75/jsons/cm_0_75_1.json,0.7922607705813685,0.7702310186436099,0.6302116741500963,0.786711966779917,1965,5650,1153,20840
