,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/ct_0_100_10/jsons/ct_0_100_10_3.json,0.9422197994390853,0.8958305221967345,0.7921077959576516,0.9036494232024959,823,1328,216,12455
0,../result/ct_0_100_10/jsons/ct_0_100_10_2.json,0.9657472543283513,0.8725145407818207,0.9163059163059163,0.8653498071928858,1905,1711,174,10996
0,../result/ct_0_100_10/jsons/ct_0_100_10_1.json,0.9503377163966462,0.8948672566371682,0.8425760286225402,0.9077669902912622,2826,1254,528,12342
0,../result/ct_0_100_10/jsons/ct_0_100_10_7.json,0.9728565883387917,0.9269381308796264,0.8671922377198302,0.9345671364410717,1430,845,219,12069
0,../result/ct_0_100_10/jsons/ct_0_100_10_9.json,0.9688966328189281,0.891589295466958,0.9214594928880643,0.8878827411557056,1490,1461,127,11570
0,../result/ct_0_100_10/jsons/ct_0_100_10_0.json,0.9489318966226562,0.8847010355194299,0.8428338762214984,0.8955035719288416,3105,1492,579,12786
0,../result/ct_0_100_10/jsons/ct_0_100_10_5.json,0.9722724693489906,0.9087818333440246,0.8882289416846653,0.9115527407730946,1645,1215,207,12522
0,../result/ct_0_100_10/jsons/ct_0_100_10_6.json,0.9654443561181031,0.8852802160702228,0.9168716182980816,0.8802535806527354,1864,1530,169,11247
0,../result/ct_0_100_10/jsons/ct_0_100_10_8.json,0.9674769072301967,0.891506922257721,0.9018640350877193,0.8900757575757576,1645,1451,179,11749
0,../result/ct_0_100_10/jsons/ct_0_100_10_4.json,0.9657826610841506,0.9042240939254722,0.8705566733735748,0.9077639094563148,1298,1308,193,12873
