,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/ct_0_100_10/jsons/ct_0_100_10_3.json,0.8957785591420211,0.8688436108487384,0.7237728585178056,0.8797794384386564,752,1657,287,12126
0,../result/ct_0_100_10/jsons/ct_0_100_10_2.json,0.935049150284847,0.8748140132557825,0.8215488215488216,0.8835287636735657,1708,1480,371,11227
0,../result/ct_0_100_10/jsons/ct_0_100_10_1.json,0.909502106358056,0.8451327433628318,0.7963625521765056,0.8571638717269785,2671,1942,683,11654
0,../result/ct_0_100_10/jsons/ct_0_100_10_7.json,0.9398129934155072,0.8686397033578246,0.8308065494238933,0.8734706520055754,1370,1634,279,11280
0,../result/ct_0_100_10/jsons/ct_0_100_10_9.json,0.9173672817785209,0.8396368104860732,0.8231292517006803,0.841685212186325,1331,2063,286,10968
0,../result/ct_0_100_10/jsons/ct_0_100_10_0.json,0.917891045257816,0.8281928515755483,0.8460912052117264,0.8235747303543913,3117,2519,567,11759
0,../result/ct_0_100_10/jsons/ct_0_100_10_5.json,0.9146960424865072,0.8738212842388864,0.7424406047516199,0.891533813787581,1375,1490,477,12247
0,../result/ct_0_100_10/jsons/ct_0_100_10_6.json,0.9377631720426072,0.8446995273463875,0.8637481554353172,0.8416686233075057,1756,2023,277,10754
0,../result/ct_0_100_10/jsons/ct_0_100_10_8.json,0.9122314842503987,0.827076677316294,0.8316885964912281,0.8264393939393939,1517,2291,307,10909
0,../result/ct_0_100_10/jsons/ct_0_100_10_4.json,0.9169628636118712,0.8669601837672282,0.7686116700201208,0.8773006134969326,1146,1740,345,12441
