,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/ct_0_100_10/jsons/ct_0_100_10_3.json,0.8107374004701337,0.7389974511469839,0.7304785894206549,0.7403260656059714,580,1322,214,3769
0,../result/ct_0_100_10/jsons/ct_0_100_10_2.json,0.7960310361352934,0.746900460503011,0.6865364850976362,0.7594692916755832,668,1124,305,3549
0,../result/ct_0_100_10/jsons/ct_0_100_10_1.json,0.8455406840959164,0.7161977186311788,0.8194070080862533,0.69516660563896,912,1665,201,3797
0,../result/ct_0_100_10/jsons/ct_0_100_10_7.json,0.837751943220852,0.6990454800673779,0.8135391923990499,0.6776271939568985,685,1451,157,3050
0,../result/ct_0_100_10/jsons/ct_0_100_10_9.json,0.826729728559084,0.6927411335764004,0.8092428711897739,0.669124975084712,823,1660,194,3357
0,../result/ct_0_100_10/jsons/ct_0_100_10_0.json,0.788665003812367,0.6858498961732423,0.7349397590361446,0.6764965565954442,793,1832,286,3831
0,../result/ct_0_100_10/jsons/ct_0_100_10_5.json,0.8484827493038191,0.7527155465037338,0.7801507537688442,0.7484301412872841,621,1282,175,3814
0,../result/ct_0_100_10/jsons/ct_0_100_10_6.json,0.7756745346128584,0.6961471103327496,0.6941457586618877,0.6964908680484301,581,1479,256,3394
0,../result/ct_0_100_10/jsons/ct_0_100_10_8.json,0.8041781679677216,0.7127174222982606,0.7467043314500942,0.7066532258064516,793,1746,269,4206
0,../result/ct_0_100_10/jsons/ct_0_100_10_4.json,0.8459009653926848,0.7282361847085541,0.7945478723404256,0.7086845716526171,1195,1486,309,3615
