,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/ct_0_100_10/jsons/ct_0_100_10_3.json,0.7272668911948631,0.773322005097706,0.5125944584382871,0.813985464545276,407,947,387,4144
0,../result/ct_0_100_10/jsons/ct_0_100_10_2.json,0.7495397341751802,0.7321997874601488,0.5991778006166495,0.7598972822597903,583,1122,390,3551
0,../result/ct_0_100_10/jsons/ct_0_100_10_1.json,0.8045799895578469,0.7773384030418251,0.6630727762803235,0.8006224826071037,738,1089,375,4373
0,../result/ct_0_100_10/jsons/ct_0_100_10_7.json,0.8053351564524326,0.7774658431592738,0.6543942992874109,0.8004887802710509,551,898,291,3603
0,../result/ct_0_100_10/jsons/ct_0_100_10_9.json,0.7618290535875174,0.7154458070931389,0.6568338249754179,0.7273270879011361,668,1368,349,3649
0,../result/ct_0_100_10/jsons/ct_0_100_10_0.json,0.7143554317515924,0.7628300207653516,0.5078776645041705,0.811407381246689,548,1068,531,4595
0,../result/ct_0_100_10/jsons/ct_0_100_10_5.json,0.8050234492714752,0.7601832993890021,0.6821608040201005,0.7723704866562009,543,1160,253,3936
0,../result/ct_0_100_10/jsons/ct_0_100_10_6.json,0.7148519835114169,0.7577933450087566,0.5149342891278376,0.7995074902524112,431,977,406,3896
0,../result/ct_0_100_10/jsons/ct_0_100_10_8.json,0.698587602261912,0.7563444539492443,0.5649717514124294,0.7904905913978495,600,1247,462,4705
0,../result/ct_0_100_10/jsons/ct_0_100_10_4.json,0.8167608718774375,0.7606358819076458,0.7160904255319149,0.7737698490492061,1077,1154,427,3947
