,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/cm_100_50/jsons/cm_100_50_1.json,0.9563982414606453,0.8436571196973791,0.914047466324567,0.8353718384295961,2850,4361,268,22129
0,../result/cm_100_50/jsons/cm_100_50_3.json,0.9667383894807489,0.887651925237463,0.908745247148289,0.884628858355066,3346,2964,336,22727
0,../result/cm_100_50/jsons/cm_100_50_4.json,0.9660553519364997,0.8752022108385009,0.9247311827956989,0.8687049674049788,3182,3444,259,22787
0,../result/cm_100_50/jsons/cm_100_50_0.json,0.9480404533427664,0.8577852887259395,0.8971298664393293,0.8478510439836406,6314,4241,724,23633
0,../result/cm_100_50/jsons/cm_100_50_2.json,0.964768194158282,0.8866638943092031,0.898594077176189,0.8852353320438426,3004,3204,339,24714
