,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/cm_100_50/jsons/cm_100_50_1.json,0.7999009504904309,0.6653369178735582,0.7843803056027164,0.6437935272429333,1386,3478,381,6286
0,../result/cm_100_50/jsons/cm_100_50_3.json,0.795178057031265,0.7116619922193069,0.7290053603335319,0.7085555792617879,1224,2732,455,6642
0,../result/cm_100_50/jsons/cm_100_50_4.json,0.7972242470373567,0.7019466584917229,0.7566137566137566,0.691585376971465,1573,3383,506,7586
0,../result/cm_100_50/jsons/cm_100_50_0.json,0.8126106167473139,0.6711721859277615,0.7928832116788321,0.647191011235955,1738,3925,454,7200
0,../result/cm_100_50/jsons/cm_100_50_2.json,0.829984522301956,0.678242778266784,0.8152173913043478,0.6473472589977445,1875,3596,425,6601
