,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,ct_3_100_0,0.9477586876910045,0.8713336388634281,0.8711281614094913,0.8713855205567913,6131,3585,907,24289
0,ct_3_100_0_trans,0.9125501029140938,0.7987225022914757,0.8689968741119636,0.7809786898184689,6116,6105,922,21769
0,ct_3_100_2,0.9691962616942481,0.8785804307974335,0.9377664109121909,0.8636363636363636,6600,3801,438,24073
0,ct_3_100_2_trans,0.9325767357729602,0.8366750687442713,0.880363739698778,0.8256439692903781,6196,4860,842,23014
