,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,ct_3_100_0,0.7656909292216846,0.7356762033491027,0.6473540145985401,0.7530786516853932,1419,2747,773,8378
0,ct_3_100_0_trans,0.827074612482572,0.6617105954794623,0.8220802919708029,0.6301123595505618,1802,4115,390,7010
0,ct_3_100_2,0.7702704625604855,0.6999324172110836,0.6916058394160584,0.7015730337078652,1516,3320,676,7805
0,ct_3_100_2_trans,0.8755017428032477,0.6909964706765788,0.8754562043795621,0.6546516853932585,1919,3842,273,7283
