,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/ct_3_25/jsons/ct_3_25_2.json,0.796813683478943,0.708329999199808,0.7326086956521739,0.7028537805236834,1685,3030,615,7167
0,../result/ct_3_25/jsons/ct_3_25_4.json,0.7219629976490219,0.677728387492336,0.6479076479076479,0.6833804357735436,1347,3473,732,7496
0,../result/ct_3_25/jsons/ct_3_25_3.json,0.7520537271047247,0.7185379534967882,0.642644431209053,0.7321314273522509,1079,2511,600,6863
0,../result/ct_3_25/jsons/ct_3_25_0.json,0.7657815344870008,0.6309228805286476,0.7586678832116789,0.605752808988764,1663,4386,529,6739
0,../result/ct_3_25/jsons/ct_3_25_1.json,0.7383828528716301,0.7646344636198075,0.5551782682512734,0.8025399426464563,981,1928,786,7836
