,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/ct_0_25/jsons/ct_0_25_3.json,0.8464072376821334,0.7978756000408539,0.7308527973927214,0.8074812191039664,2691,4946,991,20745
0,../result/ct_0_25/jsons/ct_0_25_1.json,0.8953878537679026,0.8477776276681978,0.7645926876202694,0.8575688939222348,2384,3773,734,22717
0,../result/ct_0_25/jsons/ct_0_25_4.json,0.8832135023381283,0.8591264491776759,0.7521069456553328,0.8731653387213603,2588,3327,853,22904
0,../result/ct_0_25/jsons/ct_0_25_0.json,0.8776974820092764,0.8434635655362053,0.7334470019892014,0.8712420176508574,5162,3589,1876,24285
0,../result/ct_0_25/jsons/ct_0_25_2.json,0.8426424105104866,0.8640158664150219,0.6628776548010769,0.888100866824271,2216,3124,1127,24794
