,exp_name,AUC,accuracy,sensitivity,specificity,TP,FP,FN,PN
0,../result/ct_0_25_10/jsons/ct_0_25_10_4.json,0.9656087809086613,0.8963118938233793,0.9020791415157612,0.8957055214723927,1345,1479,146,12702
0,../result/ct_0_25_10/jsons/ct_0_25_10_2.json,0.965726851459125,0.8756932233193562,0.9134199134199135,0.869520736601873,1899,1658,180,11049
0,../result/ct_0_25_10/jsons/ct_0_25_10_5.json,0.9715796486008134,0.9239848611200205,0.843952483801296,0.9347746960762903,1563,896,289,12841
0,../result/ct_0_25_10/jsons/ct_0_25_10_8.json,0.9671735446570974,0.9051517571884984,0.8892543859649122,0.9073484848484848,1622,1223,202,11977
0,../result/ct_0_25_10/jsons/ct_0_25_10_9.json,0.9700703953803705,0.8939787001638448,0.922077922077922,0.8904919039214182,1491,1427,126,11604
0,../result/ct_0_25_10/jsons/ct_0_25_10_6.json,0.9657014046352119,0.8792707629979744,0.9183472700442695,0.8730531423651875,1867,1622,166,11155
0,../result/ct_0_25_10/jsons/ct_0_25_10_3.json,0.9422459157781583,0.9162731075428417,0.7449470644850819,0.9291881303054488,774,976,265,12807
0,../result/ct_0_25_10/jsons/ct_0_25_10_7.json,0.9727739170721496,0.9044839662157522,0.9072164948453608,0.9041350472355583,1496,1238,153,11676
0,../result/ct_0_25_10/jsons/ct_0_25_10_1.json,0.9501016359646977,0.8909734513274337,0.8494335122242099,0.9012209473374522,2849,1343,505,12253
0,../result/ct_0_25_10/jsons/ct_0_25_10_0.json,0.9489839021757961,0.8831421890658055,0.8485342019543974,0.8920717187281132,3126,1541,558,12737
